order,question,answer,marks,similarity_check,keywords
1,"How many German soldiers died in World War 1?","Two million German Soldiers died in World War 1",1,True,"two million"
2,"Define blockade in World War 1","In World War 1, a blockade is the action of surrounding a country with soldiers or ships to stop people or goods from going in or out",1,True,"surrounding,country,soldiers,ships,stop,people,goods"
3,"Define the term abdicate.","Abdicate is when a monarch or sovereign officially gives up their power.",1,True,"monarch,sovereign,gives up,power"
4,"Define armistice.","An armistice is a formal agreement between two countries at war to stop countries at war to stop fighting for a particular time",1,True,"agreement,countries,war,stop,fighting"
5,"When was the occupation of the Rhur?","The occupation of the Rhur was in January 1923",1,True,"January 1923"
6,"Who was the first President of the United States?","George Washington",1,True,"George Washington"
7,"What was the Industrial Revolution?","A period of major industrialization that took place during the late 1700s and early 1800s",1,True,"industrialization,late 1700s,early 1800s"
8,"What caused World War I?","The assassination of Archduke Franz Ferdinand",1,True,"assassination,Archduke Franz Ferdinand"
9,"Who was Cleopatra?","The last active ruler of the Ptolemaic Kingdom of Egypt",1,True,"Ruler,Egypt"
10,"What was the Renaissance?","A period in European history marking the transition from the Middle Ages to modernity",1,True,"European history,Middle Ages,modernity"
11,"What was the Cold War?","A period of geopolitical tension between the Soviet Union and the United States and their respective allies",1,True,"geopolitical tension,Soviet Union,United States"
12,"Who was Napoleon Bonaparte?","A French military and political leader who rose to prominence during the French Revolution",1,True,"french,military,political,leader"
13,"What was the French Revolution?","A period of far-reaching social and political upheaval in France",1,True,"social,political,France"
14,"Who was Genghis Khan?","The founder and first Great Khan of the Mongol Empire",1,True,"mongol,empire"
15,"What was the Roman Empire?","The post-Republican period of ancient Rome",1,True,"post-republican"
16,"What was the Magna Carta?","A charter of rights agreed to by King John of England",1,True,"charter,rights,King John,England"
17,"Who was Martin Luther King Jr.?","An American Baptist minister and activist who became the most visible spokesperson and leader in the civil rights movement",1,True,"activist,civil rights movement"
18,"What was the Great Depression?","A severe worldwide economic depression that took place mostly during the 1930s",1,True,"economic,1930s"
19,"What was the Battle of Hastings?","A battle fought in 1066 between the Norman-French army and an English army",1,True,"1066,Norman,French,English,army"
20,"Who was Julius Caesar?","A Roman general and statesman who played a critical role in the events that led to the demise of the Roman Republic and the rise of the Roman Empire",1,True,"Roman general,statesman,Roman Republic,Roman Empire"
