order,question,answer,marks,similarity_check,keywords
1,"What is the purpose of the CPU?","The purpose of the CPU is to fetch, decode, and execute instructions.",1,True,"fetch,decode,execute,instructions"
2,"Define malware.","Malware (malicious software) is any software that has been created with malicious intent to cause harm to a computer system.",1,True,"malicious,software,malicious intent,cause harm,computer,system"
3,"Define firewall.","A firewall is a barrier between a network and the internet that filters requests and prevents unwanted traffic from entering the network.",1,True,"firewall,barrier,network,internet,filters,requests,prevents,unwanted traffic"
4,"Which transmission media has the highest bandwidth?","Fiber Optic Cables have the highest bandwidth.",1,True,"Fibre Optic Cable"
5,"Describe the peer-to-peer model.","In a peer-to-peer model, all computers are equal peers with no dedicated servers. Each computer is responsible for managing its backups, security, and connections.",1,True,"equal peers,no dedicated servers,managing,backups,security,connections"
6,"What is binary code?","Binary code is a system of representing numbers, letters, commands, images, and sounds using a two-symbol system: 0 and 1.",1,True,"binary,representing numbers,letters,commands,images,sounds,two-symbol system,0,1"
7,"What does HTTP stand for?","HTTP stands for HyperText Transfer Protocol.",1,True,"HyperText Transfer Protocol"
8,"Explain what a function is in programming.","A function is a block of organized, reusable code that is used to perform a single, related action.",1,True,"function,reusable code"
9,"What is the primary use of SQL?","The primary use of SQL (Structured Query Language) is to communicate with and manipulate databases.",1,True,"manipulate,databases"
10,"Define artificial intelligence.","Artificial intelligence is the simulation of human intelligence processes by machines, especially computer systems.",1,True,"simulation,human intelligence"
11,"What is an algorithm?","An algorithm is a step-by-step procedure for solving a problem or accomplishing a task.",1,True,"procedure,solving,problem,task"
12,"Define software engineering.","Software engineering is the application of engineering principles to software development in a systematic method.",1,True,"engineering principles,software development,systematic method"
13,"What is an operating system?","An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.",1,True,"manage,computer hardware,software resources,common services,computer programs"
14,"What is the function of RAM?","RAM (Random Access Memory) is used to store data and machine code currently being used.",1,True,"Random Access Memory,store,data,machine code"
15,"Define cloud computing.","Cloud computing is the delivery of computing services over the internet.",1,True,"computing services,internet"
16,"What is a database?","A database is an organized collection of data, generally stored and accessed electronically from a computer system.",1,True,"organized collection,data"
17,"Define encryption.","Encryption is the process of converting information or data into a code, especially to prevent unauthorized access.",1,True,"convert,information,data,prevent,unauthorized access"
18,"What is a URL?","A URL (Uniform Resource Locator) is the address of a resource on the internet.",1,True,"Uniform Resource Locator,address,resource,internet"
19,"What is machine learning?","Machine learning is a type of artificial intelligence that allows software applications to become more accurate at predicting outcomes without being explicitly programmed.",1,True,"artificial intelligence,software applications,accurate,predicting"
20,"What is the difference between HTTP and HTTPS?","HTTP is Hypertext Transfer Protocol, while HTTPS is the secure version of HTTP.",1,True,"Hypertext Transfer Protocol,secure version"
