order,question,answer,marks,similarity_check,keywords
1,"What is the definition of a megacity?","A megacity is a city with more than 10 million people.",1,True,"more,10 million people"
2,"Explain one reason why some areas are arid (have low rainfall).","High pressure areas are dry/arid. In these areas clouds rarely form.",1,True,"arid,high pressure,clouds form"
3,"Name one human source of carbon dioxide.","Human sources of carbon dioxide include: burning fossil fuels for power, transportation, and industry. Deforestation, which reduces the absorption of carbon dioxide by trees.",1,True,"burning fossil fuels,transportation,industry,deforestation"
4,"Give one social impact of climate change.","Social impacts of climate change include: health effects, displacement of people due to flooding or drought, loss of job opportunities in sectors like tourism and agriculture.",1,True,"health effects,displacement,flooding,drought,job,tourism,agriculture"
5,"Define alternate energy production.","Alternate energy production refers to the use of renewable energy sources like wind, solar, hydroelectric, tidal, and geothermal power, which emit lower levels of greenhouse gases than fossil fuels.",1,True,"renewable,wind,solar,hydroelectric,tidal"
6,"What is the capital of France?","Paris",1,False,""
7,"Define climate change.","A change in global or regional climate patterns",1,True,"global,climate patterns"
8,"What is the longest river in the world?","The Nile",1,True,"Nile"
9,"What is a biome?","A large naturally occurring community of flora and fauna occupying a major habitat",1,True,"community,flora,fauna,habitat"
10,"What is the highest mountain in the world?","Mount Everest",1,True,"Everest"
11,"What is the equator?","An imaginary line around the middle of the Earth that is equidistant from the North Pole and the South Pole",1,True,"equidistant,North Pole,South Pole"
12,"What is a desert?","A barren area of landscape where little precipitation occurs",1,True,"barren,landscape"
13,"What is the Amazon Rainforest?","The largest rainforest on Earth",1,True,"Largest rainforest"
14,"What is the population of China?","Approximately 1.4 billion",1,True,"1.4 billion"
15,"What is the Sahara Desert?","The largest hot desert in the world",1,True,"largest hot desert"
16,"What is an earthquake?","The shaking of the surface of the Earth resulting from a sudden release of energy in the Earth's lithosphere",1,True,"shaking,surface,energy,lithosphere"
17,"What is a tsunami?","A series of waves in a water body caused by the displacement of a large volume of water",1,True,"waves,water body,displacement"
18,"What is the Ring of Fire?","A major area in the basin of the Pacific Ocean where many earthquakes and volcanic eruptions occur",1,True,"basin,Pacific Ocean,earthquakes,volcanic eruptions"
19,"What is a volcano?","A rupture in the crust of a planetary-mass object that allows hot lava, volcanic ash, and gases to escape from a magma chamber below the surface",1,True,"rupture,crust,lava,volcanic ash,gases,magma chamber"
20,"What is a glacier?","A persistent body of dense ice that is constantly moving under its own weight",1,True,"dense ice,moving,weight"
